name,id,is_Caucasian,is_male,is_kid,happy,angry,sad,contemptuous,disgusted,neutral,fearful,surprised,look_l,look_f,look_r,angle
Rafd000_01_Caucasian_female_happy_left.jpg,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Rafd000_01_Caucasian_female_happy_frontal.jpg,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Rafd000_01_Caucasian_female_happy_right.jpg,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Rafd000_01_Caucasian_female_angry_left.jpg,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Rafd000_01_Caucasian_female_angry_frontal.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Rafd000_01_Caucasian_female_angry_right.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Rafd000_01_Caucasian_female_sad_left.jpg,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Rafd000_01_Caucasian_female_sad_frontal.jpg,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Rafd000_01_Caucasian_female_sad_right.jpg,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Rafd000_01_Caucasian_female_contemptuous_left.jpg,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Rafd000_01_Caucasian_female_contemptuous_frontal.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Rafd000_01_Caucasian_female_contemptuous_right.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Rafd000_01_Caucasian_female_disgusted_left.jpg,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Rafd000_01_Caucasian_female_disgusted_frontal.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Rafd000_01_Caucasian_female_disgusted_right.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Rafd000_01_Caucasian_female_neutral_left.jpg,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Rafd000_01_Caucasian_female_neutral_frontal.jpg,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Rafd000_01_Caucasian_female_neutral_right.jpg,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Rafd000_01_Caucasian_female_fearful_left.jpg,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Rafd000_01_Caucasian_female_fearful_frontal.jpg,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Rafd000_01_Caucasian_female_fearful_right.jpg,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Rafd000_01_Caucasian_female_surprised_left.jpg,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Rafd000_01_Caucasian_female_surprised_frontal.jpg,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Rafd000_01_Caucasian_female_surprised_right.jpg,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Rafd045_01_Caucasian_female_happy_left.jpg,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,45
Rafd045_01_Caucasian_female_happy_frontal.jpg,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,45
Rafd045_01_Caucasian_female_happy_right.jpg,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,45
Rafd045_01_Caucasian_female_angry_left.jpg,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,45
Rafd045_01_Caucasian_female_angry_frontal.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,45
Rafd045_01_Caucasian_female_angry_right.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,45
Rafd045_01_Caucasian_female_sad_left.jpg,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,45
Rafd045_01_Caucasian_female_sad_frontal.jpg,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,45
Rafd045_01_Caucasian_female_sad_right.jpg,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,45
Rafd045_01_Caucasian_female_contemptuous_left.jpg,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,45
Rafd045_01_Caucasian_female_contemptuous_frontal.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,45
Rafd045_01_Caucasian_female_contemptuous_right.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,45
Rafd045_01_Caucasian_female_disgusted_left.jpg,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,45
Rafd045_01_Caucasian_female_disgusted_frontal.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,45
Rafd045_01_Caucasian_female_disgusted_right.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,45
Rafd045_01_Caucasian_female_neutral_left.jpg,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,45
Rafd045_01_Caucasian_female_neutral_frontal.jpg,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,45
Rafd045_01_Caucasian_female_neutral_right.jpg,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,45
Rafd045_01_Caucasian_female_fearful_left.jpg,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,45
Rafd045_01_Caucasian_female_fearful_frontal.jpg,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,45
Rafd045_01_Caucasian_female_fearful_right.jpg,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,45
Rafd045_01_Caucasian_female_surprised_left.jpg,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,45
Rafd045_01_Caucasian_female_surprised_frontal.jpg,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,45
Rafd045_01_Caucasian_female_surprised_right.jpg,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,45
Rafd090_01_Caucasian_female_happy_left.jpg,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,90
Rafd090_01_Caucasian_female_happy_frontal.jpg,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,90
Rafd090_01_Caucasian_female_happy_right.jpg,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,90
Rafd090_01_Caucasian_female_angry_left.jpg,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,90
Rafd090_01_Caucasian_female_angry_frontal.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,90
Rafd090_01_Caucasian_female_angry_right.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,90
Rafd090_01_Caucasian_female_sad_left.jpg,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,90
Rafd090_01_Caucasian_female_sad_frontal.jpg,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90
Rafd090_01_Caucasian_female_sad_right.jpg,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,90
Rafd090_01_Caucasian_female_contemptuous_left.jpg,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,90
Rafd090_01_Caucasian_female_contemptuous_frontal.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,90
Rafd090_01_Caucasian_female_contemptuous_right.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,90
Rafd090_01_Caucasian_female_disgusted_left.jpg,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,90
Rafd090_01_Caucasian_female_disgusted_frontal.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90
Rafd090_01_Caucasian_female_disgusted_right.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,90
Rafd090_01_Caucasian_female_neutral_left.jpg,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,90
Rafd000_11_Kid_female_happy_left.jpg,11,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Rafd090_01_Caucasian_female_neutral_frontal.jpg,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90
Rafd090_01_Caucasian_female_neutral_right.jpg,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,90
